Height,Images,SuitableZone,GrowingSeason,BotanicName,Herkunft,Family,Location,HumidityRequirement,Benefit,Name,Notes,FlowerColor,Soil,Usability,FloweringPeriod
---,,INVASIVER NEOPHYT (Schwarze Liste) !!!,---,Solidago canadensis,Nordamerika,---,---,---,---,Kanadische Goldrute,Keine geeignete Pflanze für einen Hortus. Auf eine detaillierte Beschreibung wird daher verzichtet.,---,---,---,---
---,,INVASIVER NEOPHYT (Schwarze Liste) !!!,---,Rosa rugosa,Ostasien,---,---,---,---,Kartoffel-Rose,Keine geeignete Pflanze für einen Hortus. Auf eine detaillierte Beschreibung wird daher verzichtet.,---,---,---,---
---,,INVASIVER NEOPHYT (Schwarze Liste) !!!,---,Acer negundo,Nordamerika,---,---,---,---,Eschen-Ahorn,Keine geeignete Pflanze für einen Hortus. Auf eine detaillierte Beschreibung wird daher verzichtet.,---,---,---,---
Ca. 60-150cm,['https://hortus-netzwerk.de/wp-content/uploads/2018/09/ULO40252-225x300.jpg'],Magerzone,mehrjährig,Artemisia vulgaris,heimisch,Asteraceae - Korbblütengewächse,Sonne,trocken,"Schmetterlinge, Fledermäuse Mehr als 20 Raupenarten,  Vögel (Samen dienen als Nahrung)",Beifuß,"Der Beifuß ist eine bis zu ca. 150 cm hohe, heimische Staude, die es trocken, mager und sonnig mag. Früher wuchs Beifuß oft an Wegrändern und die Menschen sammelten die Pflanze und verwendeten sie als Würzkraut in der Küche. Heutzutage ist das Sammeln an Wegrändern wegen der Autoabgase etwas problematischer und der Beifuß geriet ein wenig in Vergessenheit. Eigentlich schade, denn er verfeinert so manche Speise und wirkt vor allem bei fetten Gerichten verdauungsfördernd.  Beifuß ist eine wunderbare Hortus-Pflanze, denn sie dient mehr als 20 Schmetterlingsraupen als Nahrung. Die Samen werden von Vöglen als Nahrung genutzt.",rötlichbraun,mager,,Juli bis September
Ca. 40cm,['https://hortus-netzwerk.de/wp-content/uploads/2018/09/Blüte-Schwertalalant-300x225.jpg'],Magerzone,mehrjährig,Inula ensifolia,"Südost- und Osteuropa, in Deutschland wahrscheinlich ca. im 18.JH eingebürgert",Asteraceae - Korbblütengewächse,Sonne,trocken,,Schwertalant,"Es ist nicht sicher geklärt, ob der Schwert-Alant in Deutschland heimisch ist, in unserem Nachbarland Österreich ist er es und die Vermutung liegt daher Nahe, dass die Pflanze auch bei uns schon seit langer Zeit kultiviert wird. Der Schwert-Alant wird bis zu 40 cm hoch und ist für magere, trockene bis frische und eher kalkhaltige Böden in sonniger Lage geeignet. Seine gelben Blüten zeigen sich zwischen Juli und September und wird von verschiedenen Insekten gut angeflogen. In einem Abstand von 25 - 30 cm gepflanzt, kann man eine schöne Beeteinfassung erreichen.",gelb,"mager, kalkhaltig",,Juli - August
,,Fettzone,einjährig,Rhinanthus alectorolophus,heimisch,Orobanchaceae - Sommerwurzgewächse,Sonne,frisch - feucht,"Insekten mit langem Rüssel (z.B. Hummeln, Schmetterlinge)",Zottiger Klappertopf,,gelbgrün,humos,,Mai bis Juli
Bis ca. 120cm,['https://hortus-netzwerk.de/wp-content/uploads/2018/09/Malva-sylvestris-300x232.jpg'],Magerzone,zweijährig bis mehrjährig,Malva sylvestris,heimisch,Malvaceae - Malvengewächse,Sonne,trocken,"Bienen, Hummeln, Schwebfliegen, Fledermäuse Schmetterlinge Raupenfutter",Wilde Malve,,violett,mager,"essbar, Heilpflanze",Juni bis Oktober
---,,INVASIVER NEOPHYT (Schwarze Liste) !!!,---,Heracleum mantegazzianum,Kaukasus,---,---,---,---,"Riesenbärenklau, Herkulesstaude",Keine geeignete Pflanze für einen Hortus. Auf eine detaillierte Beschreibung wird daher verzichtet.,---,---,---,---
,,,,,,,,,,,,,,,
Ca. 30-70cm,"['https://hortus-netzwerk.de/wp-content/uploads/2018/09/Tüpfeljohanniskraut-©Gartenphilosophin-300x225.jpg', 'https://hortus-netzwerk.de/wp-content/uploads/2018/09/Johanniskraut-289x300.jpg']",Magerzone,mehrjährig,Hypericum perforatum,heimisch,Hartheugewächse (Hypericaceae),"Sonne, Halbschatten",trocken,"Hummeln, Bienen, Fledermäuse, Schmetterlinge Mehr als 10 Raupenarten",Getüpfeltes Johanniskraut,,gelb,"mager, kalkhaltig",Heilpflanze,Mai bis September
Ca. 20-40cm,['https://hortus-netzwerk.de/wp-content/uploads/2018/09/Fette-Henne-300x225.jpg'],Magerzone,mehrjährig,Sedum telephium,heimisch,Crassulaceae - Dickblattgewächse,Sonne,trocken - frisch,Wildbienen,Purpur-Fetthenne,,"rötlich, gelb",mager,,Juli bis September
Ca. 5-30cm,"['https://hortus-netzwerk.de/wp-content/uploads/2018/09/Potentilla-erecta©Gartenphilosophin-300x225.jpg', 'https://hortus-netzwerk.de/wp-content/uploads/2018/09/Blutwurz_IMG_0115-300x200.jpg']",Magerzone,mehrjährig,Potentilla erecta,heimisch,Rosaceae - Rosengewächse,Sonne,trocken,,Blutwurz,,gelb,"mager, sauer",,Juni bis Juli
Ca. 5-30cm,"['https://hortus-netzwerk.de/wp-content/uploads/2018/09/Hasenklee-Bluete-©Gartenphilosophin-300x225.jpg', 'https://hortus-netzwerk.de/wp-content/uploads/2018/09/Hasenklee-Blatt-©Gartenphilosophin-300x225.jpg']",Magerzone,einjährig,Trifolium arvense ,"Südeuropa, eigebürgert ca. 18. JH",Fabaceae - Hülsenfrüchtler,Sonne,frisch,"Bienen, Hummeln Schmetterlinge",Hasen-Klee,,weißrosa,mager,,Juni bis September
Bis ca. 50cm,,"Pufferzone, Magerzone, Kletterpflanze",einjährig,Tropaeolum majus,"Südamerika, seit ca. 17. JH bei uns angebaut",Tropaeolaceae - Kapuzinerkressengewächse,"Sonne, Halbschatten",frisch,,Kapuzinerkresse,"Ein südamerikanischer Exot für einen Hortus? Nun, in der Pflanzen-Datenbank wird auch die Ertragszone berücksichtigt und dort tummeln sich ja bekanntlich so einige nichtheimische Pflanzen. Davon abgesehen ist die Kapuzinerkresse bereits im 17. Jahrhundert bei uns angebaut worden. Die Kapuzinerkresse wird in zwei Formen angeboten, die rankende und die buschige Variante. Bis auf das Wuchsverhalten gibt es aber so gut wie keinen Unterschied. In unseren Breiten ist diese Pflanze meist einjährig. Die rankende Variante klettert mit einem Rankgerüst bis zu 3 Metern hoch. Nicht nur die großen orangefarbenen und gelben Blüten, die ab Juli erscheinen, sind essbar. Auch Stängel und Blätter besitzen den typisch pfeffrig- bis senfartigen Geschmack und geben Salat, Dip und Kräuterquark einen besonderen Geschmack. Wer ein Hochbeet besitzt, kann die Kapuzinerkresse auch an den Rand pflanzen und außen am Beet herunterwachsen lassen. Das sieht nicht nur schön aus, sondern bietet Inskten einen kleinen Schutzraum und die Blüten werden von einigen Generalisten unter den Insekten auch angeflogen. Keine typische Hortus-Pflanze also, aber ein attraktiver, wohlschmeckender Kletter für die Ertragszone.","gelb, orange","mager - humos, lehmig",Blätter und Blüten essbar,Juli bis Oktober
Ca. 15-50cm,"['https://hortus-netzwerk.de/wp-content/uploads/2018/09/Hausdachwurz-Sempervivum-tectorum-300x225.jpeg', 'https://hortus-netzwerk.de/wp-content/uploads/2018/09/Sempervivum-tectorum-300x225.jpg']",Magerzone,mehrjährig,Sempervivum tectorum,heimisch,Crassulaceae - Dickblattgewächse,Sonne,trocken,Wildbienen,Dachwurz,,rosa,mager,,Juli - August
Ca. 5-15cm,['https://hortus-netzwerk.de/wp-content/uploads/2018/09/Sempervivum-300x225.jpg'],Magerzone,mehrjährig,Sempervivum arachnoideum,heimisch,Crassulaceae - Dickblattgewächse,Sonne,trocken,Wildbienen,Spinnwebige Hauswurz,,rosa,mager,,Juli bis August
Bis ca. 60cm,"['https://hortus-netzwerk.de/wp-content/uploads/2018/09/borretsch02-300x225.jpg', 'https://hortus-netzwerk.de/wp-content/uploads/2018/09/Borretsch-am-Abend-300x225.jpg']",Magerzone,einjährig,Borago officinalis,"Südeuropa, eingebürgert im Mittelalter",Boraginaceae - Raublattgewächse,Sonne,trocken,"Bienen, Hummeln",Borretsch,,blau,mager,Blüten essbar,Juni bis August
Bis ca. 3m,,POTENTIELL INVASIV! Graue Liste ! (Ertragszone),mehrjährig,Helianthus tuberosus,Nordamerika,Asteraceae - Korbblütengewächse,"Sonne, Halbschatten",frisch,,Topinambur,Bei Anbau Rhizom(Wurzel-)sperre verwenden ,,humos,Knolle essbar,
Ca. 30-80cm,['https://hortus-netzwerk.de/wp-content/uploads/2018/09/Luzerne-225x300.jpg'],Magerzone,mehrjährig,Medicago sativa,"Asien, eingebürgert ca. 17. JH",Fabaceae - Hülsenfrüchtler,Sonne,trocken,"Viele Wildbienenarten, Hummeln Schmetterlinge, Fledermäuse Mehr als 10 Raupenarten",Saat-Luzerne,,violett,mager,,Juni - September
,,,,,,,,,,,,,,,
Bis ca. 20m,"['https://hortus-netzwerk.de/wp-content/uploads/2018/09/Efeu-1-300x225.jpg', 'https://hortus-netzwerk.de/wp-content/uploads/2018/09/Efeu-300x225.jpg']","Pufferzone, Kletterpflanze",mehrjährig,Hedera helix,heimisch,Araliaceae - Araliengewächse,"Halbschatten, Schatten",feucht,"Bienen, Hummeln, Wespen, Schmetterlinge, Schwebfliegen Vögel (Früchte dienen als Nahrung) Spätblüher",Efeu,"Wie wuchsstark Efeu ist, sieht man allein schon daran, dass die bei uns heimische Pflanze in vielen Teilen der Welt als invasiver Neophyt teilweise rigoros bekämpft wird. Bis zu 20 Höhe kann diese Pflanze erreichen, Vorraussetzungen sind ein halbschattiger bis schattiger, feuchter Standort mit humosem Boden. Aber auch auf etwas mageren Flächen kommt der Efeu zurecht. Bei der Begrünung von Gebäuden sollte man beachten, dass die Haftwurzeln des Efeus massiven Schaden am Mauerwerk verursachen können. Deshalb ist die Verwendung von Rankgerüsten ratsam. Efeu ist eine unglaublich wichtige und wertvolle Pflanze. Vielen Insekten dient die immergrüne Belaubung als Schutz und Lebensraum, in dichten Efeubeständen auch Kleintieren und Vögeln. Es dauert ca. 10 Jahre, bis Efeu das erste Mal blüht. Die unscheinbaren weiß/grünen Blüten sind ab September eine der wichtigsten Nahrungsquellen für eine Vielzahl von Insekten, angefangen bei kaum sichtbaren, kleinen Fliegen bis hin zu den großen Hornissen. Die Früchte werden im Winter gern von Vögeln angenommen. Efeu verträgt starke Rückschnitte, die Blätter können als Waschmittel verwendet werden.",weiß,mager - humos,Blätter als Waschmittel verwendbar,September bis November
Bis ca. 3m,,Pufferzone,Gehölz,Berberis vulgaris,heimisch,Berberidaceae - Berberitzengewächse,Halbschatten,feucht,"Bienen, Fliegen, Fledermäuse Viele Schmetterlinge Mehr als 5 Raupenarten Vögel, Vogelschutzgehölz",Berberitze,"Die heimische Berberitze ist sehr wuchsstark, wer also schnell eine hohe, dichte und durch die Dornen undurchdringliche Hecke benötigt, ist mit diesem Gehölz gut beraten. Der Strauch erreicht eine maximale Höhe von ca. 3m sowie eine Breite von ca. 2,5m und verträgt auch stärkere Rückschnitte. Der beste Pflanzplatz ist auf humosem, frischem bis feuchtem Boden in halbschattiger Lage. Die gelben Blüten, die ab Mai gebildet werden, sind eine wichtige Nahrungsquelle für Bienen, Schmetterlinge und andere Insekten. Die roten Früchte sind nicht nur für Vögel ein Leckerbissen, schon die Ägypter schätzen die Beeren in der Küche und im medizinischen Bereich.",gelb,humos,Beeren essbar,Mai bis Juni
Bis ca. 15m,,Pufferzone,Gehölz,Prunus padus,heimisch,Rosaceae - Rosengewächse,"Sonne, Halbschatten",feucht,"Bienen, Schmetterlinge, Schwebfliegen Raupenfutter",Gewöhnliche Traubenkirsche,,weiß,humos,"Früchte essbar, roh aber bitter",April bis Mai
"Ca. 2,5 - 4,5m",,"Pufferzone, Kletterpflanze",mehrjährig,Clematis flammula,"Südeuropa, eingebürgert ca. 17. JH",Ranunculaceae - Hahnenfußgewächse,"Sonne, Halbschatten",feucht,,"Brennende Waldrebe, Mandel-Waldrebe","Die ursprünglich in Südeuropa heimische Brennende Waldrebe ist seit ca. dem 17. Jahrhundert bei uns eingebürgert. Sie gedeiht gut in sonnigen bis halbschattigen Lagen, der Boden sollte humos und feucht sein. Am besten beschattet man den Fuß der Pflanze durch geeignete niedrige Bepflanzung.  Ab Juli kann man sich dann an den kleinen, weißen Blüten erfreuen, die nicht nur wie ein kleines Kunstwerk aussehen, sondern auch noch mandelartig duften. Daher auch der Name „Mandel-Waldrebe“. Der Duft lockt viele Insekten an, das dichte Blattwerk bietet darüber hinaus Lebensraum und Schutz.",weiß,humos,,Juli - September
1-3m,['https://hortus-netzwerk.de/wp-content/uploads/2018/09/Amelanchier-lamarckii-Felsenbirne-Blüte-und-Blattaustrieb-150x150.jpg'],Pufferzone,Gehölz,Amelanchier ovalis,heimisch,Rosaceae - Rosengewächse,"Sonne, Halbschatten",trocken - frisch,Schmetterlinge Raupenfutter,Felsenbirne,"Mit einer Höhe von ca. 3m gehört die Felsenbirne zu den eher kleineren Gehölzarten. In humosem Boden in Sonne oder Halbschatten kann sie bis zu 30cm im Jahr wachsen. Das Gehölz verträgt Rückschnitte und kommt mit Hitze- und Trockenperioden gut zurecht. Die Blüten werden ab April von Insekten gut angeflogen, Schmetterlingsraupen dient die Felsenbirne als Raupenfutter. Die Früchte sind essbar und werden von Vögeln gut angenommen.  ",weiß,mager - humos,Früchte können zu Marmelade verkocht werden,April bis Mai
Bis ca. 80cm,"['https://hortus-netzwerk.de/wp-content/uploads/2018/09/Echium-vulgare-Gewöhnlicher-Natternkopf-©Gartenphilosophin-300x225.jpeg', 'https://hortus-netzwerk.de/wp-content/uploads/2018/09/natternkopf02-225x300.jpg']",Magerzone,zweijährig,Echium vulgare,heimisch,Boraginaceae - Raublattgewächse,Sonne,trocken,"Bienen, Schwebfliegen, Fledermäuse Über 40 Schmetterlingsarten Raupenfutter",Gewöhnlicher Natternkopf,,blau,"mager, durchlässig",,Juni bis August
Ca. 30-100cm,"['https://hortus-netzwerk.de/wp-content/uploads/2018/09/Wilde-Möhre-Daucus-carota-300x225.jpeg', 'https://hortus-netzwerk.de/wp-content/uploads/2018/09/Daucus-carota-300x225.jpg']",Magerzone,zweijährig,Daucus carota,heimisch,Apiaceae - Doldengewächse,Sonne,trocken,"Bienen, Fliegen, Käfer Raupenfutter",Wilde Möhre,u.a. wichtig für Sandbienen,weiß,"mager, durchlässig",,Juni bis September
bis ca. 40cm,"['https://hortus-netzwerk.de/wp-content/uploads/2018/09/Knospen-Küchenschellen-300x225.jpg', 'https://hortus-netzwerk.de/wp-content/uploads/2018/09/Pulsatilla-225x300.jpg']",Magerzone,mehrjährig,Pulsatilla vulgaris,heimisch,Ranunculaceae - Hahnenfußgewächse,Sonne,trocken - frisch,"Bienen, Hummeln, frühfliegende Insekten",Küchenschelle,"Die Küchenschelle ist in der freien Natur nur noch selten anzutreffen, die Wildform steht unter Naturschutz. Die heimische Staude kann eine Höhe von bis zu 40 cm erreichen und wächst gut auf magerem, trockenem bis frischem Boden in sonniger Lage. Man sollte auf einen durchlässigen Boden achten, denn die Küchenschelle reagiert empfindlich auf Winternässe. Ihre wunderschönen Blüten erscheinen zwischen März und Mai, damit ist die eine wichtige Nahrungsquelle für frühfliegende Insekten. Eine Beetumrandung mit Küchenschellen ist ein besonderer Blickfang im Frühling und die im Handel erhältlichen Farbvariationen bieten weiteren Gestaltungs-Spielraum.",lila,"mager, durchlässig",giftig,März - Mai
Ca. 20-50cm,"['https://hortus-netzwerk.de/wp-content/uploads/2018/09/Dornige-Hauhechelblüte-300x225.jpg', 'https://hortus-netzwerk.de/wp-content/uploads/2018/09/Dornige-Hauhechel-300x225.jpg']",Magerzone,mehrjährig,Ononis spinosa,heimisch,Fabaceae - Hülsenfrüchtler,Sonne,trocken - frisch - feucht - nass,"Bienen, Fledermäuse Mehr als 10 Raupenarten",Dornige Hauhechel,,rosa,"mager, kalkhaltig",,Juni bis August
Ca. 30-80cm,['https://hortus-netzwerk.de/wp-content/uploads/2018/09/Knautia-macedonia-300x225.jpg'],Fettzone,mehrjährig,Knautia arvensis,heimisch,Dipsaceceae - Kardengewächse,"Sonne, Halbschatten",frisch,"Bienen, Schmetterlinge, Fledermäuse Mehr als 5 Raupenarten",Witwenblume,,lila,nährstoffreich,,Juli - August
Bis ca. 40cm,"['https://hortus-netzwerk.de/wp-content/uploads/2020/01/tulipa-sylvestris2-300x225.jpg', 'https://hortus-netzwerk.de/wp-content/uploads/2018/09/Weinbergtulpe-300x201.jpg']",Pufferzone,Zwiebelgewächs,Tulipa sylvestris,"Südeuropa, Nordafrika, seit dem 16. JH etabliert",Liliaceae - Liliengewächse,Sonne,trocken - frisch,Frühblüher,Weinberg-Tulpe,"Ursprünglich aus dem südeuropäischen und nordafrikanischen Raum stammend, fand die Weinberg-Tulpe im 16. JH ihren Weg zu uns nach Mitteleuropa und ist die einzige Tulpe, die sich nördlich der Alpen in der Natur etabliert hat. Heute steht sie in Deutschland als stark gefährdete Pflanze auf der Roten Liste. Eine Entnahme aus der Natur ist also verboten. Die bis zu 40 cm hohe Pflanze blüht ab April in einem leuchtenden Gelb und bietet im Gegensatz zu den 0815-Baumarkt-und Discount-Tulpen Nahrung für Bienen, Hummeln und andere Insekten. Durch Selbstaussaat und Tochterzwiebeln kann sie schnell größere Bestände bilden, wenn ihr der Standort zusagt. Dieser sollte sonnig und trocken bis frisch sein. Von leicht sandig bis etwas lehmig ist alles erlaubt, ein paar Nährstoffe in Form eines humosen Bodens sollten es aber schon sein. In der Pufferzone ist sie also am Rand gut aufgehoben und wer ein noch nicht abgemagertes, sonniges Stück Wiese hat, kann mit der Weinberg-Tulpe nicht nur einen schönen Blickfang schaffen, sondern auch etwas für die Insekten tun.",gelb,humos,,April - Mai
bis ca. 80cm,['https://hortus-netzwerk.de/wp-content/uploads/2018/09/Seifenkraut-300x200.jpg'],"Pufferzone, Magerzone",mehrjährig,Saponaria officinalis,heimisch,Caryophyllaceae - Nelkengewächse,Sonne,trocken - frisch,"Bienen, Schwebfliegen, Fledermäuse Viele Nachtfalter",Echtes Seifenkraut,,violett,mager - humos,Natürliches Waschmittel,Juni bis September
Ca. 30-60cm,,Sumpfzone,mehrjährig,Dianthus superbus,heimisch,Caryophyllaceae - Nelkengewächse,"Sonne, Halbschatten",feucht - nass,Schmetterlinge,Pracht-Nelke,"Die bei uns heimische Prachtnelke bevorzugt feuchte bis nasse und humose Böden in sonniger bis halbschattiger Lage. Dort kann sie eine Höhe von bis zu 60 cm erreichen. Zwischen Juni und September ziehen die hellrosafarbenen Blüten vor allem Tag- und Nachtfalter mit ihrem vanilleartigen Duft an, denn nur Insekten mit langem Rüssel können den Nektar erreichen. Das Blattgrün ist winterhart und und wintergrün.",rosa,humos,,Juni bis Oktober
50-160cm,,Sumpfzone,mehrjährig,Lythrum salicaria,heimisch,Lythraceae - Weiderichgewächse,"Halbschatten, Schatten",nass,"Bienen, Schmetterlinge, Schwebfliegen Raupenfutter",Blutweiderich,"Der bei uns heimische Blutweiderich wurde bei uns schon im Mittelalter als Heil- und Gerberpflanze genutzt. Die Staude liebt sehr feuchte bis nasse Standorte, die Lage sollte halbschattig bis schattig sein, der Boden nährstoffreich. Der Blutweiderich kann eine Höhe von bis zu 160 cm erreichen, im Winter stirbt der oberirdische Teil der Pflanze ab und treibt im Frühjahr neu aus. Die purpurfarbenen Blüten erscheinen zwischen Juni und August und werden von verschiedenen Insekten sehr gut angeflogen, die Pflanze selbst dient einigen Falterarten als Raupenfutter.",purpur/violett,humos - nährstoffreich,,Juni bis August
bis ca. 4m,,Pufferzone,Gehölz,Viburnum lantana,heimisch,Adoxaceae - Moschuskrautgewächse,Halbschatten,feucht,"Vögel, Insekten",Wolliger Schneeball,"Der Wollige Schneeball ist ein heimsiches Gehölz, das eine Höhe von ca. 4m erreicht. Sein dichtverzweigter Wuchs macht ihn zu einem guten Vogelschutzgehölz und Nistplatz. Er sollte nicht zu dicht am Haus gepflanzt werden, da die Blüten ab Juni einen unangenehmen Geruch verströmen.  Der Standort für dieses Gehölz sollte sonnig bis halbschattig sein, der Boden humos und eher feucht. Die Früchte sind für den Menschen nicht genießbar, stellen jedoch für Vögel eine wertvolle Winternahrung dar.",weiß,"humos, kalkhaltig","ungenießbar, einige Pflanzenteile giftig",Juni bis Juli
bis ca. 50cm,['https://hortus-netzwerk.de/wp-content/uploads/2018/09/Ysop-300x225.jpg'],Magerzone,mehrjährig,Hyssopus officinalis,heimisch,Lamiaceae - Lippenblütengewächse,Sonne,trocken,Nektar- und Pollenlieferant,Ysop,"Diese bis zu ca. 50 cm hohe, heimische Staude ist während der Blüte wunderschön anzusehen. Ab Juni dienen die dunklen lilafarbenen Blüten des Ysop als Pollen- und Nektarlieferant. Er wächst besonders gut auf eher magerem, kalkhaltigen, trockenen Boden an einem sonnigen Standort. Ysop kann sparsam als Würzkraut in der Küche eingesetzt werden, desweiteren dient die Pflanze als Heilkraut, denn sie hat entzündungshemmende, verdauungs- und auswurffördernde Eigenschaften. Allerdings sollte man Ysop nicht in hohen Dosen oder über einen längeren Zeitraum verwenden, da das ätherische Öl Vergiftungserscheinungen hervorrufen kann.",lila,"mager, kalkhaltig","Essbar, Gewürzkraut, Heilpflanze",Juni bis September
20-50cm,"['https://hortus-netzwerk.de/wp-content/uploads/2018/09/Ruprechtskraut-300x225.jpg', 'https://hortus-netzwerk.de/wp-content/uploads/2018/09/Geranium-robertianum-300x225.jpg']","Pufferzone, Magerzone",zweijährig,Geranium robertianum,heimisch,Geraniaceae - Storchschnabelgewächse,"Halbschatten, Schatten",frisch - feucht,Bienen,Ruprechtskraut,"Der heimische Ruprechts-Storchenschnabel ist ein sehr anspruchsloses Kraut. Die bis zu 50 cm hohe zweijährige Pflanze wächst sowohl auf magerem als auch auf humosem Boden. Der Standort sollte schattig bis halbschattig sein und der Untergrund frisch bis feucht. Damit ist der Ruprechts-Storchenschnabel nicht nur sehr gut für Mager-Schattenbeete geeignet, sondern auch für Unterpflanzungen. Die rosafarbenen Blüten werden von Mai bis Oktober vor allem von Bienen angeflogen.",rosa/violett,mager - humos,"Essbar, Heilpflanze",Mai bis Oktober
bis ca. 60cm,"['https://hortus-netzwerk.de/wp-content/uploads/2018/09/Linularia-vulgaris-Gewöhnliches-Leinkraut-©Gartenphilosophin-300x225.jpg', 'https://hortus-netzwerk.de/wp-content/uploads/2018/09/Gewöhnliches-Lainkraut-Linularia-vulgaris-Blatt-300x225.jpg']",Magerzone,mehrjährig,Linaria vulgaris,heimisch,Scrophulariaceae - Braunwurzgewächse,Sonne,trocken,"Insekten mit langem Rüssel (z.B. Hummeln, Schmetterlinge)",Gewöhnliches Leinkraut,,gelb,"mager, sandig, steinig",,Juni bis Oktober
bis ca. 100cm,['https://hortus-netzwerk.de/wp-content/uploads/2018/09/Beinwell-222x300.jpg'],Sumpfzone,mehrjährig,Symphytum officinale,heimisch,Boraginaceae - Raublattgewächse,"Sonne, Halbschatten",feucht - nass,Insekten mit langem Rüssel Raupenfutter,Gemeiner Beinwell,"Der Gemeine oder auch Echte Beinwell ist eine heimische Staude, die bis zu 100 cm groß werden kann. Am besten wächst der Echte Beinwell auf stickstoffhaltigen, feuchten bis nassen Böden in sonniger bis halbschattiger Lage. Seine lilafarbenen Blüten locken zwischen Mai und Juli zahlreiche Insekten mit langen Rüsseln wie Hummeln oder Schmetterlingen an. Oft kann man jedoch auch beobachten, wie kurzrüsselige Insekten die Blüten seitlich anstechen. Auch für den Menschen ist der Echte Beinwell interessant, schon seit der Antike findet er sowohl in der Küche als auch in der Heilkunde Anwendung.",lila,"humos, nährstoffreich",,Mai bis Juli
bis ca. 120cm,"['https://hortus-netzwerk.de/wp-content/uploads/2018/09/Rainfarn-1-300x225.jpg', 'https://hortus-netzwerk.de/wp-content/uploads/2018/09/Rainfarn-237x300.jpg']","Magerzone, Wiesen",mehrjährig,Tanacetum vulgare,heimisch,Asteraceae - Korbblütengewächse,Sonne,trocken - frisch,"Viele Insekten (u.a. Käfer, Wanzen) Schmetterlinge, Fledermäuse Mehr als 5 Raupenarten","Rainfarn, Wurmfarn",,gelb,mager - nährstoffreich,"giftig, Färberpflanze",Juli bis September
ca. 15cm,,Pufferzone,mehrjährig,Anemone nemorosa,heimisch,Ranunculaceae - Hahnenfußgewächse,"Halbschatten, Schatten",frisch,"Nektar- und Pollenlieferant, Raupenfutter",Busch-Windröschen,"Das Buschwindröschen ist eine heimische, niedrige Staude, die sich durch Rhizome flächig ausbreiten kann. Am besten gedeiht das Buschwindröschen in humosem und frischem Boden in halbschattiger bis schattiger Lage und erreicht dort eine Höhe von bis zu 15 cm. Dadurch ist diese Staude hervorragend zur Randgestaltung von Hecken/Pufferzonen geeignet. Je nach Region sind die weißen Blüten zwischen März und Mai ein begehrter Pollen- und Nekarlieferant für verschiedene Insekten. Die Pflanze dient weiterhin auch als Raupenfutter. ",weiß,humos,Alle Pflanzenteile sind giftig,März bis April
bis zu 100cm,,Pufferzone,mehrjährig,Aegopodium podagraria,heimisch,Apiaceae - Doldengewächse,"Halbschatten, Schatten",feucht,,Gewöhnlicher Giersch,"Eine der umstrittensten Hortuspflanzen ist der Gewöhnliche Giersch. Er stellt wenige Ansprüche an seinen Standort, lediglich saure oder salzige Böden und vollsonnige Areale werden gemieden. Diese Genügsamkeit und stark wuchernde Ausläufer bewirken eine rasante Ausbreitung. Da die Ausläufer bis zu 50 cm tief in den Boden reichen, ist es - wenn überhaupt - nur mit enormem Aufwand verbunden, das Wachstum dieser Pflanze zu kontrollieren. Und doch ist der Gewöhnliche Giersch eine sehr wertvolle Pflanze. Zwischen Juni und August werden die weißen Blüten von zahlreichen Insekten angeflogen und die Staude ist eine wichtige Raupenfutterpflanze für viele Schmetterlingsarten. In der Küche wird der Gewöhnliche Giersch sowohl roh in Salaten als auch gekocht als Gemüsebeilage verwendet.",weiß,nährstoffreich,Essbar,Juni bis August
bis ca. 150cm,"['https://hortus-netzwerk.de/wp-content/uploads/2018/09/Wilde-Karde-Weberkarde-Dipsacus-fullonum-©Gartenphilosophin-300x225.jpg', 'https://hortus-netzwerk.de/wp-content/uploads/2018/09/Wilde-Karde-Dipsacum-fullonum-300x225.jpg']",Magerzone,zweijährig,Dipsacus fullonum,heimisch,Dipsaceceae - Kardengewächse,Sonne,trocken,"Insekten mit langem Rüssel (z.B. Schmetterlinge, Hummeln) Vögel (Samen dienen als Futter)",Wilde Karde,,lila,"mager, kalkhaltig",Heilpflanze,Juli bis August
bis ca. 40cm,['https://hortus-netzwerk.de/wp-content/uploads/2018/09/Aaronstab01-300x212.jpg'],Pufferzone,mehrjährig,Arum maculatum,heimisch,Araceae - Aronstabgewächse,"Halbschatten, Schatten",feucht - nass,,Gefleckter Aronstab ,"Der Gefleckte Aronstab ist eine mehrjährige, heimische Pflanze, die bis zu ca. 40 cm hoch werden kann. Er ist nicht für Magerbeete geeignet, denn diese Staude liebt es feucht bis nass und humos. Auch sonnige Lagen meidet der Gefleckte Aronstab, er bevorzugt halbschattige bis schattige Lagen. In Pufferzonen ist er also bestens aufgehoben. Zwischen April und Juni bildet die Pflanze schöne, grüne Blüten, später setzt sie leuchtend rote Beeren an und ist auf Grund der Blüten, Beeren und des dichtes Blattwerks eine gute Nahrungs- und Schutzstaude für allerlei Insekten, Spinnen- und Kleintiere. Alle Pflanzenteil des Gefleckten Aronstabs sind stark giftig, gerade bei Kindern ist also höchste Vorsicht geboten.",grün,"humos, kalkreich",Alle Pflanzenteile sind stark giftig!,April bis Juni
